name,full_address,phone,website,rating,rating_count,business_type,industry,ai_local_confidence,ai_software_confidence,potential_services,ai_reasoning,latitude,longitude,place_id
SGF ELECTRIC,"58 Stiver Dr, Newmarket, ON L3Y 7V6, Canada",(647) 676-0403,http://www.sgfelectric.ca/,5,101,electrician,Home & Construction,100,85,"website, CRM, mobile apps","Local name, high rating count, potential for CRM and mobile apps",44.0664686,-79.4802352,ChIJ7fRzCWBX74kRbGSy6pewY8k
Real Canadian Superstore Yonge Street,"18120 Yonge St, Newmarket, ON L3Y 4V8, Canada",(905) 830-4072,https://www.realcanadiansuperstore.ca/store-locator/details/1018?utm_source=G&utm_medium=LPM&utm_campaign=Loblaws,4.2,2168,florist,Retail & Specialty,100,90,"website, booking, CRM","Local, unique name, high rating count, pet store likely in need of online booking system and CRM",44.06985399999999,-79.486278,ChIJIZWEUBrOKogRUNsfKxsqxZM
Nazcar,"18263 Yonge St, East Gwillimbury, ON L9N 0H9, Canada",(905) 868-9331,https://nazcar.ca/,4.8,120,car_dealer,Automotive,100,80,"website, booking, mobile apps","Local business with a unique name, high rating, and potential need for software like booking systems and mobile apps.",44.0733441,-79.48449629999999,ChIJHz-kXhrOKogRWlOH67UVias
VBS MEDICAL BILLING & BOOKKEEPING SERVICES,"122 Colony Trail Blvd, Holland Landing, ON L9N 1E4, Canada",(416) 577-9672,https://vbs1.ca/,5,1,accounting,Professional Services,100,90,"website, CRM",Local billing and bookkeeping service likely in need of CRM system,44.09958139999999,-79.4876412,ChIJjzQcZ2HOKogRkyePMCLZhUc
Fine Finishes Design Inc.,"118 Oriole Dr, East Gwillimbury, ON L9N 1H1, Canada",(905) 235-1919,https://www.finefinishes.ca/,5,27,painter,Home & Construction,100,85,"website, booking, CRM","Local and unique name, moderate rating count, likely in need of software for managing bookings, customer relationships, and online presence.",44.10758709999999,-79.5051221,ChIJp0CIyTU0K4gR5J5n6qiLpVI
Tax Partners - Accountants and Tax Consultants,"17817 Leslie St Unit #2, Newmarket, ON L3Y 8C6, Canada",(905) 836-8755,https://taxpartners.ca/,4.9,903,accounting,Professional Services,100,90,"website, booking, CRM","Local name, high rating count, likely needs software for event bookings and management.",44.07378,-79.43341819999999,ChIJ2YpFEYTNKogRivMJ179HPJc
Comfort Inn,"1230 Journey's End Cir, Newmarket, ON L3Y 8Z6, Canada",(905) 895-3355,https://www.choicehotels.com/ontario/newmarket/comfort-inn-hotels/cn281?mc=llrscncn&pmf=canada,3.8,649,auto_repair,Automotive,100,85,"website, booking, CRM","Personal name, local reference, would benefit from software for managing appointments and customer data.",44.0696497,-79.4231871,ChIJW6bTwXfNKogRXdT1e_s5-to
Best Way To Move Ltd,"1172 Davis Dr #106, Newmarket, ON L3Y 8X4, Canada",(416) 999-6683,https://bestwaytomove.com/Newmarket-Movers.html,5,35,moving_company,Home & Construction,100,90,"website, booking, CRM, mobile apps","Unique name, local reference, medium-sized moving company that can benefit from a comprehensive software solution for managing bookings, customer relationships, and mobile operations.",44.06588190000001,-79.42710280000001,ChIJx9AwQYLNKogR4QhzZxEp9no
Wilton Industries Ltd,"17345 Leslie St, Newmarket, ON L3Y 0A4, Canada",(416) 679-0790,https://wilton.com/,3.7,6,finance,Professional Services,100,90,"website, inventory, CRM","Local creative name, likely requires software for inventory and customer management",44.0617786,-79.4302149,ChIJf_ZAGQc7K4gRzSbSO8S-vto
Gilbert & Genua Insurance Brokers Ltd,"1069 Gorham St, Newmarket, ON L3Y 8K6, Canada",(905) 895-1535,http://www.ggninsurance.ca/,5,3,insurance_agency,Professional Services,100,90,"website, CRM","Local creative name, high rating count, likely in need of CRM software for managing clients",44.0571601,-79.4304519,ChIJYSbhxX7SKogRNTWq-FW34RA
York Endodontics Microsurgery Center - Dr. Daniel C.S. Leung,"16945 Leslie St #21, Newmarket, ON L3Y 9A2, Canada",(905) 953-4100,http://www.yorkendo.com/,4.8,44,dentist,Healthcare & Wellness,100,90,"website, booking, CRM","Local name, high rating count, likely to benefit from online booking and CRM system",44.05255959999999,-79.4260048,ChIJ6esNOHzSKogRY2xeZ2ShvDU
Volkswagen of Newmarket,"16885 Leslie St, Newmarket, ON L3Y 9A1, Canada",(905) 895-2366,https://www.vwofnewmarket.com/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_content=sales,4.3,1186,car_dealer,Automotive,100,85,"website, booking, mobile apps","Local car dealer with high rating count, likely needs website, booking system, and mobile apps.",44.0506097,-79.4272242,ChIJ3QRz8ozRKogR3hPvznSZHes
Matsu Jewellery Studio,"1235 Gorham St Unit 1, Newmarket, ON L3Y 8Y5, Canada",(416) 271-5853,http://matsujewellery.com/,5,8,jewelry_store,Retail & Specialty,100,90,"website, CRM, mobile apps","Unique name, local reference, low rating count indicates potential for software development to boost visibility and customer engagement.",44.0593351,-79.4230034,ChIJEUGwzSMzK4gRC794p-fbkGc
Bloomsbury Kitchens and Fine Cabinetry,"415 Harry Walker Pkwy N #4, Newmarket, ON L3Y 8T9, Canada",(905) 853-7700,http://www.bloomsburykitchens.com/,5,27,furniture_store,Retail & Specialty,100,90,"website, CRM, mobile apps","Unique business offering custom cabinetry likely in need of a website for showcasing products, CRM for managing client projects, and mobile apps for customer interaction.",44.0810322,-79.4270768,ChIJKVn0-aDNKogRksFQFqpUGyg
Jay Carter Roofing & Sheet Metal,"31 Bales Dr W, East Gwillimbury, ON L0G 1V0, Canada",(877) 490-3400,http://www.jaycarterroofing.com/,4.5,50,roofing_contractor,Home & Construction,100,85,"website, CRM","Local owner, unique name, moderate rating count, likely in need of software for online presence and customer management.",44.07577300000001,-79.40192569999999,ChIJu5449oHNKogR3MP4m9xhFcY
Mr Steam Car Wash,"200 Mulock Dr, Newmarket, ON L3Y 9B6, Canada",(905) 953-9811,N/A,4.6,33,car_wash,Automotive,100,80,"website, booking","Local business with a high rating, likely in need of software for online booking and customer management.",44.0375984,-79.46713749999999,ChIJh4yh_SbSKogR676nB7pr6oM
Newmarket Roofing,"16715 Yonge St #415, Newmarket, ON L3X 1X4, Canada",(905) 960-9675,https://newmarketroofing.ca/,5,1,roofing_contractor,Home & Construction,100,90,"website, booking, CRM","Local name, small business in the construction industry that can benefit from software for project management and client communication.",44.0358238,-79.47394899999999,ChIJmdfnB4bRKogRm-_tMDXLtos
Ainger Group Roofing and Exteriors,"16715 Yonge St 12 - Suite 918, Newmarket, ON L3X 1X4, Canada",(705) 444-5712,http://www.aingerroofing.ca/,4.9,60,roofing_contractor,Home & Construction,100,95,"website, booking, CRM","Local owner, unique name, high rating count, likely in need of software for managing bookings and customer relationships.",44.0358354,-79.4739919,ChIJo0f2aJfRKogRWpw45kleC3M
Miller Orthodontics,"16635 Yonge St Unit 1-3, Newmarket, ON L3X 1V6, Canada",(905) 898-4848,https://www.millerortho.ca/,4.9,393,dentist,Healthcare & Wellness,100,85,"website, booking, CRM","Unique name, low rating count indicating potential for growth, likely in need of software for managing appointments and customer relationships",44.0335693,-79.47386259999999,ChIJIePJuYfRKogRuLyh2gzCQDc
Mr. Lube + Tires,"16630 Yonge St, Newmarket, ON L3X 2N8, Canada",(905) 898-4915,https://www.mrlube.com/locations/112?utm_source=G&utm_medium=lpm&utm_campaign=MrLube,4.7,2427,car_repair,Automotive,100,90,"website, booking, CRM","Local business with a unique name, high rating count, and high likelihood of requiring software like booking systems and CRM.",44.032936,-79.47664999999999,ChIJJ3WJfYbRKogRX_yMjGvrT38
Premium Cars Wholesale Ltd,"17065 Yonge St, Newmarket, ON L3Y 4V7, Canada",(905) 853-6767,http://www.premiumcarswholesale.ca/,4.8,1091,car_dealer,Automotive,100,90,"website, inventory, CRM","Local business with high rating count, needs software for inventory and CRM.",44.0441078,-79.4772696,ChIJUyuxmvHRKogR_g1OLbjDReY
Athlete's Zone Online,"189 Earl Stewart Dr #5, Aurora, ON L4G 6V5, Canada",(647) 226-3894,https://athleteszoneonline.com/,5,46,gym,Healthcare & Wellness,100,90,"website, booking, CRM, mobile apps","Local name, high rating, online presence indicates the need for software for bookings, customer management, and mobile apps.",44.0159167,-79.4493502,ChIJGazr3rE4K4gRE7rsQCc-9UY
Luda Flower Salon,"130 Hollidge Blvd #1, Aurora, ON L4G 7J1, Canada",(905) 751-1000,http://ludaflower.com/,4.7,145,florist,Retail & Specialty,100,95,"website, inventory, CRM","Local, unique name, high rating count, pet store likely in need of website, inventory management, and CRM",44.012368,-79.44854900000001,ChIJxcNfgcfTKogRse7otx3dPek
R A Graham Contractors,"13 Industrial Pkwy S, Aurora, ON L4G 3V9, Canada",(905) 763-1701,https://www.ragraham.ca/,5,3,electrician,Home & Construction,100,90,"website, CRM, mobile apps","Local name, high rating, potential for CRM and mobile apps",44.0008177,-79.45594270000001,ChIJWdR8uEkrK4gRr1ts26KACAk
Sink or Swim Tattoos,"169 Edward St, Aurora, ON L4G 1W5, Canada",(905) 751-0001,http://sinkorswimtattoos.ca/,4.9,381,jewelry_store,Retail & Specialty,100,85,"website, booking system, CRM","Unique name, local business, high rating count suggests the need for software to manage appointments and customer relationships.",43.99293979999999,-79.4587494,ChIJM1ldN2DRKogR_agXy0slCSM
Artsy Baker,"255 Industrial Pkwy S Unit #5, Aurora, ON L4G 3V2, Canada",(905) 503-5333,http://www.artsybaker.com/,4.6,255,clothing_store,Retail & Specialty,100,90,"website, booking","Unique name, local reference, likely needs online ordering system",43.9907546,-79.45359979999999,ChIJqRKnT_HTKogRqsY6p142UM8
With Love Decor & Flowers | Aurora Flower Arrangements,"15160 Yonge St, Aurora, ON L4G 1M2, Canada",(647) 648-3703,http://www.withlovedecor.com/,4.9,137,florist,Retail & Specialty,100,90,"website, booking, mobile apps","Local, unique name, moderate rating count, pet store likely in need of online booking system and mobile app",43.99748719999999,-79.4672683,ChIJ61NUwNrVKogRvct1gRB_VlQ
Ag Enhancive Clinic,"15387 Yonge St, Aurora, ON L4G 1P1, Canada",(905) 503-7546,https://agenhancive.com/,5,29,spa,Healthcare & Wellness,100,90,"website, booking, CRM","Unique name, local reference, high rating count, likely in need of software for managing appointments and customer relationships.",44.0032358,-79.4680968,ChIJB4Gdg7IrK4gRg0yGnAY_G-g
